city,state,avg_price
Fairy,Texas,"$2,500,000.00"
Silesia,Montana,"$2,500,000.00"
New Hampshire 03457,New Hampshire,"$2,500,000.00"
Popponesset Island,Massachusetts,"$2,495,000.00"
Dayton,Montana,"$2,471,666.67"
Royal Oak,Maryland,"$2,471,250.00"
Sparkill,New York,"$2,462,000.00"
Brookville,New York,"$2,459,444.33"
Milan,New York,"$2,457,580.00"
Boswell,Oklahoma,"$2,446,220.00"
Manhattan,New York,"$2,440,950.70"
Allenhurst,New Jersey,"$2,433,000.00"
Buffalo Gap,South Dakota,"$2,416,666.67"
Seacrest,Florida,"$2,413,083.33"
Pray,Montana,"$2,400,000.00"
Ocean Ridge,Florida,"$2,385,845.46"
Kenefic,Oklahoma,"$2,383,860.00"
Saint John,Virgin Islands,"$2,380,891.63"
North Hills,New York,"$2,379,735.24"
Orient,New York,"$2,377,714.29"
Weston,Massachusetts,"$2,369,500.00"
Hewlett Harbor,New York,"$2,363,666.67"
Elk Creek,Missouri,"$2,362,500.00"
Wyaconda,Missouri,"$2,360,115.00"
Saddle River,New Jersey,"$2,352,545.36"
Lloyd Harbor,New York,"$2,329,750.00"
Pinecrest,Florida,"$2,326,759.72"
Islamorada,Florida,"$2,324,548.42"
Drury,Missouri,"$2,320,000.00"
Harvey Cedars,New Jersey,"$2,302,687.50"
West Tisbury,Massachusetts,"$2,301,454.55"
Paul Smiths,New York,"$2,300,000.00"
Longboat Key,Florida,"$2,291,874.82"
New York City,New York,"$2,291,690.17"
Westhampton,New York,"$2,275,799.88"
Burlington,Texas,"$2,275,000.00"
Lyme,New Hampshire,"$2,274,500.00"
Cayo Costa,Florida,"$2,274,000.00"
Westport,Connecticut,"$2,251,516.80"
Terra Ceia,Florida,"$2,250,000.00"
Purchase,New York,"$2,246,780.00"
Block Island,Rhode Island,"$2,239,600.00"
Sugarloaf,Florida,"$2,238,611.11"
Jamestown,Rhode Island,"$2,237,571.36"
Long Beach Township,New Jersey,"$2,222,229.22"
Nissequogue,New York,"$2,217,992.71"
Cohasset,Massachusetts,"$2,211,994.12"
Surf City,New Jersey,"$2,201,300.00"
Credit River Township,Minnesota,"$2,200,000.00"
