city,state,avg_price
Woolford,Maryland,"$669,666.67"
Ocean Isle Beach,North Carolina,"$669,606.37"
Bayside,New York,"$669,392.71"
Moneta,Virginia,"$669,014.44"
Cedar Lake Township,Minnesota,"$669,000.00"
West Hempstead,New York,"$668,972.20"
Kendrick,Oklahoma,"$668,500.00"
Roseland,New Jersey,"$668,438.46"
Fairview,Tennessee,"$668,293.07"
Day,New York,"$668,249.75"
Wynnewood,Pennsylvania,"$668,190.91"
Doyle,Tennessee,"$667,814.14"
Dataw Island,South Carolina,"$667,784.10"
Barrington,Illinois,"$667,761.11"
Spring Hill,Tennessee,"$667,685.53"
River Hills,Wisconsin,"$667,425.00"
Forestdale,Massachusetts,"$667,360.00"
Morris Plains,New Jersey,"$667,260.83"
Warwick,New York,"$667,087.46"
Charlton,New York,"$666,812.50"
Lake Frederick,Virginia,"$666,795.79"
Dillon,Montana,"$666,635.14"
Aledo,Texas,"$666,318.03"
Granite Springs,New York,"$666,300.00"
Spearfish,South Dakota,"$666,249.98"
O Fallon,Missouri,"$666,248.14"
Callicoon,New York,"$665,987.50"
Dadeville,Alabama,"$665,868.06"
Jim Falls,Wisconsin,"$665,730.00"
Dunwoody,Georgia,"$665,578.03"
Matlacha,Florida,"$665,311.76"
Lizton,Indiana,"$665,300.00"
Salem,New Hampshire,"$665,277.74"
Beauregard,Alabama,"$665,000.00"
Westover,Alabama,"$664,900.00"
Glenmoore,Pennsylvania,"$664,861.33"
Glen Arbor,Michigan,"$664,837.50"
Danville,Vermont,"$664,750.00"
Glencoe,Kentucky,"$664,666.67"
Pierson,Florida,"$664,652.67"
Myersville,Maryland,"$664,640.71"
Randolph,New Jersey,"$664,320.93"
Como,Texas,"$664,125.00"
Hampton,New Hampshire,"$664,017.41"
Marietta,South Carolina,"$663,974.62"
Dawson,Alabama,"$663,750.00"
Upper Nazareth Township,Pennsylvania,"$663,725.00"
Northbrook,Illinois,"$663,712.68"
Arden,North Carolina,"$663,564.66"
Oldfield,Missouri,"$663,283.33"
Merritt,North Carolina,"$663,195.00"
Winona,Texas,"$663,091.43"
Hockessin,Delaware,"$663,006.90"
Sunnyvale,Texas,"$662,990.91"
Richmond Heights,Missouri,"$662,799.83"
Custer,South Dakota,"$662,724.14"
Louisville,Tennessee,"$662,589.16"
Smithville,Oklahoma,"$662,333.33"
Broad Channel,New York,"$662,291.58"
Northville Township,Michigan,"$662,095.96"
Hollywood,Florida,"$662,034.29"
Beverly Shores,Indiana,"$661,968.00"
Harbor Beach,Michigan,"$661,785.71"
Tiger,Georgia,"$661,720.00"
Mars,Pennsylvania,"$661,623.20"
Fort Mill,South Carolina,"$661,565.90"
Fanwood,New Jersey,"$661,538.89"
Wading River,New York,"$661,139.77"
Hughesville,Maryland,"$661,080.52"
Georgetown,Tennessee,"$660,850.00"
The Acreage,Florida,"$660,847.60"
Cushing,Maine,"$660,800.00"
Riva,Maryland,"$660,615.38"
Bristol,Rhode Island,"$660,429.25"
Bentonville,Arkansas,"$660,391.51"
Ada,Michigan,"$660,078.00"
Altoona,Kansas,"$660,000.00"
South Dennis,Massachusetts,"$659,975.00"
Cumming,Georgia,"$659,914.02"
Beaver Island,Michigan,"$659,912.50"
Durham,Pennsylvania,"$659,900.00"
University Park,Maryland,"$659,800.00"
Ashland,Nebraska,"$659,720.00"
Miller Place,New York,"$659,643.23"
Newington,New Hampshire,"$659,450.00"
Clark,New Jersey,"$659,361.74"
Grapevine,Texas,"$659,237.45"
Pocasset,Massachusetts,"$659,200.00"
Morattico,Virginia,"$659,000.00"
Waverly,Alabama,"$659,000.00"
Little Marsh,Pennsylvania,"$659,000.00"
Everett,Massachusetts,"$658,947.52"
Pine Knoll Shores,North Carolina,"$658,451.40"
Boonton Township,New Jersey,"$658,415.31"
Arnold,Maryland,"$658,313.97"
Ostrander,Ohio,"$657,872.22"
Long Lake,Minnesota,"$657,660.00"
East Meadow,New York,"$657,400.18"
Thompson,North Dakota,"$657,200.00"
Egg Harbor,Wisconsin,"$657,197.78"
Unionville,Tennessee,"$656,633.00"
Parkton,Maryland,"$656,317.65"
Pelham,New Hampshire,"$656,294.74"
Collierville,Tennessee,"$656,158.66"
Homerville,Ohio,"$656,000.00"
Burlington,Illinois,"$655,966.67"
Brush Creek,Tennessee,"$655,925.00"
Moore Township,Pennsylvania,"$655,780.00"
Larsen,Wisconsin,"$655,600.00"
Levittown,New York,"$655,541.27"
Lanexa,Virginia,"$655,377.38"
Elverson,Pennsylvania,"$655,324.83"
Lower Township,New Jersey,"$655,289.47"
Waterville Valley,New Hampshire,"$655,276.92"
Washington,Michigan,"$654,638.96"
Deerfield,Illinois,"$654,629.14"
Marcell,Minnesota,"$654,500.00"
Hamburg,Illinois,"$654,450.00"
Orchard Lake Village,Michigan,"$654,300.00"
Lantana,Texas,"$654,249.14"
Lithia,Florida,"$654,145.29"
North Yarmouth,Maine,"$653,950.00"
Saratoga Springs,New York,"$653,516.99"
Beechhurst,New York,"$653,512.94"
Dallas Plt,Maine,"$653,333.33"
Paoli,Pennsylvania,"$653,263.33"
Lake Bluff,Illinois,"$653,168.18"
Westmore,Vermont,"$653,060.00"
Kilmarnock,Virginia,"$653,042.50"
Springfield,Virginia,"$652,702.10"
Colcord,Oklahoma,"$652,666.67"
Jericho,Vermont,"$652,500.00"
Oak Grove,Arkansas,"$652,500.00"
Mount Sinai,New York,"$652,488.00"
Kennett Square,Pennsylvania,"$652,475.65"
Lambertville,New Jersey,"$652,446.15"
Bourne,Massachusetts,"$652,282.14"
Litchfield,Connecticut,"$652,135.42"
Valley Stream,New York,"$652,111.86"
Sawyer,Michigan,"$651,862.50"
Lothian,Maryland,"$651,838.50"
East Chatham,New York,"$651,780.00"
Long Hill Township,New Jersey,"$651,736.00"
Hinckley,Ohio,"$651,600.00"
Havana,Arkansas,"$651,560.00"
Pleasant Valley,New York,"$651,344.42"
Gurley,Alabama,"$651,199.00"
Port Jefferson,New York,"$651,152.46"
Belgium,Wisconsin,"$650,923.64"
Boyne City,Michigan,"$650,741.18"
North Wildwood,New Jersey,"$650,167.11"
Watson,Oklahoma,"$650,000.00"
Cragford,Alabama,"$650,000.00"
Fork,Maryland,"$650,000.00"
Campbelltown,Pennsylvania,"$650,000.00"
Statts Mills,West Virginia,"$650,000.00"
Emmons,Minnesota,"$650,000.00"
Bullock,North Carolina,"$650,000.00"
Sullivan,New Hampshire,"$650,000.00"
South Hampton,New Hampshire,"$649,950.00"
Tuckahoe,New York,"$649,919.95"
Webster,Iowa,"$649,900.00"
Richlandtown,Pennsylvania,"$649,900.00"
Fincastle,Virginia,"$649,895.00"
Trumbull,Connecticut,"$649,806.40"
Nesconset,New York,"$649,769.47"
Ventnor City,New Jersey,"$649,700.00"
East Bridgewater,Massachusetts,"$649,669.15"
New Smyrna Beach,Florida,"$649,539.14"
Pelham,New York,"$649,477.29"
Saint Cloud,Wisconsin,"$649,400.00"
Media,Pennsylvania,"$649,384.05"
Rainbow Lake,New York,"$649,331.67"
Oak Ridge,North Carolina,"$649,119.89"
Plainfield,Massachusetts,"$649,000.00"
Sandstone,West Virginia,"$649,000.00"
Pelham,Tennessee,"$649,000.00"
Webster,North Carolina,"$649,000.00"
Pennington,Texas,"$649,000.00"
Jamaica South,New York,"$649,000.00"
Mystic Island,New Jersey,"$649,000.00"
Gorham,Maine,"$648,989.41"
Milford,Michigan,"$648,952.14"
Indian Point,Missouri,"$648,951.71"
Berkeley Heights,New Jersey,"$648,900.00"
Buzzards Bay,Massachusetts,"$648,888.89"
Tarrytown,New York,"$648,854.55"
West Miami,Florida,"$648,712.50"
Rochester,Michigan,"$648,691.80"
Tallassee,Tennessee,"$648,600.00"
Springer,Oklahoma,"$648,500.00"
Ayer,Massachusetts,"$648,450.00"
Dallas,Texas,"$648,434.06"
East Nassau,New York,"$648,271.43"
Ford River Township,Michigan,"$647,950.00"
Springfield Center,New York,"$647,537.50"
South Hero,Vermont,"$647,500.00"
Lake Lillian,Minnesota,"$647,500.00"
Pelham,Massachusetts,"$647,000.00"
Huntingdon Valley,Pennsylvania,"$646,977.36"
Afton,Oklahoma,"$646,741.86"
Grant Valkaria,Florida,"$646,691.82"
Oconomowoc,Wisconsin,"$646,683.95"
Worthington,Massachusetts,"$646,666.67"
Manalapan,New Jersey,"$645,826.86"
Elmore,Vermont,"$645,800.00"
Minnetonka,Minnesota,"$645,727.37"
Roswell,Georgia,"$645,559.02"
Allardt,Tennessee,"$645,254.55"
Elkwood,Virginia,"$645,000.00"
Berkey,Ohio,"$644,900.00"
Sandy Springs,Georgia,"$644,866.33"
Waterford,Wisconsin,"$644,689.29"
Sandown,New Hampshire,"$644,427.09"
Cambria Heights,New York,"$644,333.13"
Glen Mills,Pennsylvania,"$644,205.11"
Lascassas,Tennessee,"$644,040.00"
Sunset,Texas,"$643,890.00"
Stock Island,Florida,"$643,857.14"
Butler,Tennessee,"$643,733.29"
Winter Garden,Florida,"$643,720.98"
Monroe,New York,"$643,521.76"
Alva,Florida,"$643,392.51"
McDonald,Tennessee,"$643,392.31"
Mount Eden,Kentucky,"$642,599.80"
Fairview,New Jersey,"$642,555.88"
Lee,Massachusetts,"$642,500.00"
Enterprise,Florida,"$642,358.00"
Burbank,South Dakota,"$642,250.00"
Monterey,Massachusetts,"$642,000.00"
Bristol,Maine,"$641,999.44"
Saluda,North Carolina,"$641,980.00"
Doral,Florida,"$641,904.67"
Tilghman,Maryland,"$641,880.00"
Emory,Texas,"$641,704.26"
New Boston,New Hampshire,"$641,560.00"
North Topsail Beach,North Carolina,"$641,452.73"
Fallston,Maryland,"$641,242.97"
Windham,Maine,"$641,163.16"
Westover,Maryland,"$641,140.00"
Garrison,Montana,"$641,000.00"
Alstead,New Hampshire,"$641,000.00"
Auburn,Indiana,"$640,817.62"
Sadler,Texas,"$640,793.75"
Rose,Oklahoma,"$640,608.33"
Chesterfield,New Jersey,"$640,566.53"
Wildwood,Missouri,"$640,385.38"
Lake Wylie,South Carolina,"$640,345.83"
Lac du Flambeau,Wisconsin,"$640,176.92"
Alder,Montana,"$640,000.00"
Rockport,Maine,"$640,000.00"
Upper Dublin,Pennsylvania,"$640,000.00"
Far Rockaway,New York,"$639,747.45"
Pylesville,Maryland,"$639,666.67"
New Monmouth,New Jersey,"$639,633.33"
Hawkins,Texas,"$639,546.15"
Valley Cottage,New York,"$639,529.35"
Piperton,Tennessee,"$639,524.38"
Medford,New Jersey,"$639,524.04"
Seneca,Nebraska,"$639,500.00"
Port O'Connor,Texas,"$639,265.00"
Glen Ellyn,Illinois,"$639,264.64"
Woodbridge,Connecticut,"$639,243.18"
Stony Brook,New York,"$639,122.95"
Brigantine,New Jersey,"$639,105.09"
Estero,Florida,"$639,017.47"
Mount Kisco,New York,"$638,851.62"
Hillsdale,New York,"$638,780.00"
Marathon Township,Michigan,"$638,675.00"
Terrace Park,Ohio,"$638,500.00"
Allentown,New Jersey,"$638,355.00"
Bear Creek,Pennsylvania,"$638,300.00"
Fruit Cove,Florida,"$638,300.00"
Garden City Beach,South Carolina,"$638,165.09"
Killingworth,Connecticut,"$638,059.80"
Gouldsboro,Maine,"$637,916.67"
Citra,Florida,"$637,853.93"
Wauzeka,Wisconsin,"$637,557.14"
Gibsonia,Pennsylvania,"$637,243.83"
Lisbon,Wisconsin,"$637,155.56"
Dalworthington Gardens,Texas,"$636,985.71"
West Chester,Pennsylvania,"$636,942.07"
Cranford,New Jersey,"$636,680.65"
Cecil,Alabama,"$636,633.33"
Ocracoke,North Carolina,"$636,186.67"
Satellite Beach,Florida,"$636,114.26"
Keene,Virginia,"$636,000.00"
Monrovia,Maryland,"$635,730.77"
Chesterfield,Missouri,"$635,602.12"
Charlevoix,Michigan,"$635,216.00"
Coppell,Texas,"$635,191.53"
Dyker Heights,New York,"$635,000.00"
Rockbridge Baths,Virginia,"$635,000.00"
Quapaw,Oklahoma,"$635,000.00"
Genoa,Wisconsin,"$635,000.00"
Long Lane,Missouri,"$635,000.00"
Hauppauge,New York,"$634,535.48"
Yardley,Pennsylvania,"$634,526.37"
Occoquan,Virginia,"$634,362.38"
Brownville,New York,"$633,799.94"
Drayden,Maryland,"$633,755.86"
Islip,New York,"$633,671.93"
Carmel,Indiana,"$633,646.18"
Middleton,Wisconsin,"$633,011.93"
Sparta,New Jersey,"$632,969.03"
Palos Park,Illinois,"$632,742.11"
Plain City,Ohio,"$632,615.56"
Framingham,Massachusetts,"$632,572.53"
Baldwin,Maine,"$632,500.00"
Elmsford,New York,"$632,326.60"
Goldsby,Oklahoma,"$632,250.00"
Suches,Georgia,"$631,910.53"
Apollo Beach,Florida,"$631,910.07"
Bishop,Georgia,"$631,790.83"
Burlington,Vermont,"$631,708.33"
Nottingham,New Hampshire,"$631,633.33"
Nashotah,Wisconsin,"$631,528.57"
Oden,Michigan,"$631,500.00"
Exeter,New Hampshire,"$631,485.27"
Berkley,Massachusetts,"$631,433.33"
Epworth,Georgia,"$631,206.96"
Owings,Maryland,"$631,116.27"
Bethpage,New York,"$631,113.28"
Riverside,Missouri,"$631,039.00"
Shenandoah Junction,West Virginia,"$630,298.33"
Newmarket,New Hampshire,"$630,174.15"
Indian Harbour Beach,Florida,"$629,975.00"
North Massapequa,New York,"$629,933.00"
Sayville,New York,"$629,907.03"
Nassau,Florida,"$629,900.00"
La Crosse,Florida,"$629,700.00"
Stella,North Carolina,"$629,687.60"
Eden,Maryland,"$629,450.00"
Linden,Indiana,"$629,300.00"
Huntingtown,Maryland,"$629,207.49"
Salisbury,Massachusetts,"$629,205.56"
Plano,Texas,"$629,090.32"
Mi 49938,Michigan,"$629,000.00"
Pinehurst,North Carolina,"$628,979.67"
Centreville,Virginia,"$628,957.67"
Pottersville,Missouri,"$628,957.00"
Prairie Village,Kansas,"$628,606.08"
Suwanee,Georgia,"$628,165.00"
Lodi Township,Michigan,"$628,133.33"
Malden,Massachusetts,"$628,123.62"
Ossining,New York,"$627,979.53"
Claudville,Virginia,"$627,966.67"
McHenry,Maryland,"$627,945.57"
Naperville,Illinois,"$627,483.56"
Madeira,Ohio,"$627,422.86"
Brookline,New Hampshire,"$626,612.38"
Ferguson,North Carolina,"$626,580.00"
Lyndhurst,New Jersey,"$626,513.09"
Damariscotta,Maine,"$626,500.00"
Graham,Texas,"$626,484.81"
Chester,New Jersey,"$626,333.17"
Fish Creek,Wisconsin,"$626,180.00"
Farmersville,Texas,"$626,153.24"
Dardenne Prairie,Missouri,"$625,984.98"
Chester,New Hampshire,"$625,920.00"
Port Saint Joe,Florida,"$625,916.68"
Ann Arbor,Michigan,"$625,348.11"
Brooks,Georgia,"$625,215.63"
Lake Tapawingo,Missouri,"$625,000.00"
Blairstown,Missouri,"$625,000.00"
Chance,Maryland,"$625,000.00"
Jackson,New Hampshire,"$625,000.00"
W12363 Cth,Wisconsin,"$625,000.00"
Omega,Georgia,"$625,000.00"
Orleans,Iowa,"$624,950.00"
Big Stone City,South Dakota,"$624,950.00"
Doerun,Georgia,"$624,933.33"
Bethlehem Township,New Jersey,"$624,824.88"
Criders,Virginia,"$624,666.33"
Webbville,Kentucky,"$624,500.00"
Bridgton,Maine,"$624,467.65"
Princeton,Massachusetts,"$624,450.00"
Overland Park,Kansas,"$624,195.25"
Saint Johns,Florida,"$624,078.62"
Cedar Hill,Texas,"$624,023.49"
Delaware,New Jersey,"$623,692.71"
Leesburg,Indiana,"$623,620.00"
Belton,Texas,"$623,614.97"
North Bergen,New Jersey,"$623,182.44"
White Oak,Georgia,"$623,133.33"
Bonners Ferry,Idaho,"$622,854.17"
Moyie Springs,Idaho,"$622,800.00"
Du Bois,Illinois,"$622,750.00"
South Huntington,New York,"$622,725.00"
Warwick,Maryland,"$622,700.00"
Mackinaw City,Michigan,"$622,666.67"
Mount Tabor,Vermont,"$622,500.00"
Cedar Grove,Tennessee,"$622,466.67"
Belmont,Ohio,"$622,450.00"
Jobstown,New Jersey,"$622,225.00"
Lafayette Hill,Pennsylvania,"$621,877.21"
Flat Rock,North Carolina,"$621,772.55"
Collegeville,Pennsylvania,"$621,750.30"
Lincolnville,Maine,"$621,100.00"
Bristow,Virginia,"$621,073.25"
Stephenville,Texas,"$620,635.14"
Gilbert,South Carolina,"$620,208.25"
Boothbay,Maine,"$620,100.00"
Shamong,New Jersey,"$620,012.52"
Porters Neck,North Carolina,"$620,000.00"
Maple Glen,Pennsylvania,"$619,950.00"
Bangor,Wisconsin,"$619,900.00"
Union Hall,Virginia,"$619,770.83"
New Paltz,New York,"$619,721.28"
Baldwin,New York,"$619,668.15"
Yorktown Heights,New York,"$619,569.18"
Lake Geneva,Wisconsin,"$619,556.81"
Flourtown,Pennsylvania,"$619,509.09"
Ulster Park,New York,"$619,445.45"
East Setauket,New York,"$619,432.96"
Brentwood,New Hampshire,"$619,263.47"
Dayton,Maine,"$619,142.86"
Marriottsville,Maryland,"$619,125.00"
Darlington,Pennsylvania,"$619,114.14"
Sweetwater,New Jersey,"$619,000.00"
Blue Ridge,Texas,"$618,984.62"
Henrico,North Carolina,"$618,950.00"
Elmhurst,New York,"$618,870.85"
Clarence Center,New York,"$618,846.57"
Moriches,New York,"$618,618.75"
Spotsylvania,Virginia,"$618,486.49"
Mohrsville,Pennsylvania,"$618,407.14"
Riverhead,New York,"$618,343.73"
South Salem,Ohio,"$618,266.67"
Islandton,South Carolina,"$618,249.75"
Ashwaubenon,Wisconsin,"$618,140.33"
Moody,Texas,"$618,117.59"
East Rockaway,New York,"$617,889.08"
Union Grove,Wisconsin,"$617,876.92"
Gordon,Texas,"$617,833.33"
Eden Prairie,Minnesota,"$617,552.13"
Chinook,Montana,"$617,500.00"
Frohna,Missouri,"$617,000.00"
Boothbay Harbor,Maine,"$617,000.00"
Long Grove,Iowa,"$616,382.67"
Indian Land,South Carolina,"$616,349.84"
Kings Park,New York,"$615,898.90"
Barboursville,Virginia,"$615,752.38"
Wilmington,Vermont,"$615,722.64"
Bruce,Michigan,"$615,469.78"
Catlett,Virginia,"$615,064.83"
Beulah,Missouri,"$615,000.00"
Street,Maryland,"$614,769.30"
Duncansville,Pennsylvania,"$614,683.33"
Bridgewater Twp,New Jersey,"$614,613.63"
Dumfries,Virginia,"$614,560.06"
Shokan,New York,"$614,428.57"
Glenwood,Arkansas,"$614,369.17"
Rockville,Maryland,"$614,277.75"
North Hero,Vermont,"$614,250.00"
Toms Brook,Virginia,"$614,250.00"
East Boston,Massachusetts,"$614,250.00"
Pleasant Mount,Pennsylvania,"$614,000.00"
Clarksville,Virginia,"$613,985.19"
Farragut,Tennessee,"$613,750.31"
Totowa,New Jersey,"$613,508.17"
Alphar,Georgia,"$613,316.67"
Danbury,New Hampshire,"$613,300.00"
Langston,Alabama,"$613,266.67"
Whittemore,Michigan,"$613,266.67"
Bar Harbor,Maine,"$613,181.82"
Mount Solon,Virginia,"$613,075.00"
Cleveland,South Carolina,"$613,000.00"
Beverly,Massachusetts,"$612,942.64"
Hewlett,New York,"$612,830.23"
Hudgins,Virginia,"$612,800.00"
Selbyville,Delaware,"$612,744.98"
Rembert,South Carolina,"$612,716.67"
Clearcreek Township,Ohio,"$612,666.59"
Plains,Montana,"$612,642.79"
Vandervoort,Arkansas,"$612,500.00"
Okemah,Oklahoma,"$612,462.96"
Elk Garden,West Virginia,"$612,450.00"
Sinclair,Maine,"$612,450.00"
Tampa,Florida,"$612,206.95"
Lincoln,Montana,"$612,042.86"
Geneva,Florida,"$611,787.19"
Lake Harmony,Pennsylvania,"$611,631.55"
Pittsburg,Texas,"$611,543.31"
Queens Village,New York,"$611,402.59"
Mitchellville,Maryland,"$611,017.27"
Potomac Falls,Virginia,"$611,000.00"
Maple Grove,Minnesota,"$610,452.16"
Jewett,Texas,"$610,270.00"
Meredith,New Hampshire,"$610,202.44"
Banks,Alabama,"$610,166.67"
Langdon,New Hampshire,"$610,000.00"
Wirtz,Virginia,"$609,867.39"
Belleair Bluffs,Florida,"$609,764.71"
Dennis Port,Massachusetts,"$609,759.26"
Gulf Breeze,Florida,"$609,636.18"
Shohola,Pennsylvania,"$609,273.39"
Symmes Township,Ohio,"$609,102.25"
Villa Hills,Kentucky,"$609,094.46"
Winthrop,Massachusetts,"$609,034.48"
Branford,Connecticut,"$608,986.80"
Eldred,New York,"$608,966.67"
Columbus,Michigan,"$608,960.00"
Elk Rapids,Michigan,"$608,953.33"
Rochester Hills,Michigan,"$608,671.70"
Caldwell,West Virginia,"$608,500.00"
South Hempstead,New York,"$608,400.00"
Mineola,New York,"$608,373.44"
Friendsville,Maryland,"$608,283.33"
Nowthen,Minnesota,"$608,266.67"
Williston,Tennessee,"$607,880.00"
White Post,Virginia,"$607,850.00"
Roosevelt,New Jersey,"$607,700.00"
Charlottesville,Virginia,"$607,514.56"
Kingsville,Maryland,"$607,496.25"
Lunenburg,Massachusetts,"$607,418.75"
Lanesborough,Massachusetts,"$607,225.00"
Petoskey,Michigan,"$607,035.29"
Nanuet,New York,"$606,996.04"
Acton,Maine,"$606,960.00"
Union Pier,Michigan,"$606,885.57"
Gulf Shores,Alabama,"$606,439.54"
South Yarmouth,Massachusetts,"$606,385.29"
San Augustine,Texas,"$606,213.46"
Park Ridge,Illinois,"$606,104.55"
Rutherford,New Jersey,"$605,964.61"
Grand Marais,Minnesota,"$605,783.33"
Fair Lawn,New Jersey,"$605,662.48"
Wayne,New Jersey,"$605,494.07"
Manchester,Vermont,"$605,384.62"
South Setauket,New York,"$605,241.33"
Plattekill,New York,"$605,000.00"
Denville,New Jersey,"$604,984.58"
Suffern,New York,"$604,787.92"
Nisswa,Minnesota,"$604,725.46"
Franconia,New Hampshire,"$604,560.00"
Amityville,New York,"$604,522.62"
New Market,Maryland,"$604,429.89"
Lindale,Texas,"$604,341.58"
Grandview Heights,Ohio,"$604,004.00"
Lewisburg,Kentucky,"$603,993.75"
Jones,Oklahoma,"$603,866.39"
National Harbor,Maryland,"$603,453.13"
North Wales,Pennsylvania,"$603,451.90"
Seabrook,South Carolina,"$603,422.88"
Millersport,Ohio,"$603,400.00"
Fairfield,Nebraska,"$603,300.00"
Black,Missouri,"$603,266.67"
Saint Simons,Georgia,"$603,250.00"
Grasonville,Maryland,"$603,245.54"
Ocean City,Maryland,"$603,239.21"
Pompano Beach,Florida,"$602,934.40"
Rockwall,Texas,"$602,494.18"
Schnecksville,Pennsylvania,"$602,483.33"
Holmes,New York,"$602,322.22"
Mullica Hill,New Jersey,"$602,305.18"
Lakeville,Pennsylvania,"$602,276.15"
Kirkwood,Missouri,"$601,999.73"
North Miami,Florida,"$601,988.98"
Pine Beach,New Jersey,"$601,979.90"
Jensen Beach,Florida,"$601,918.31"
Plymouth,Minnesota,"$601,846.68"
Wilton,New Hampshire,"$601,616.78"
Tyngsborough,Massachusetts,"$601,590.91"
Knox,Pennsylvania,"$601,185.71"
Norwood,Massachusetts,"$601,022.22"
Ovid,New York,"$600,950.00"
Littleton,North Carolina,"$600,702.11"
Rockton,Pennsylvania,"$600,666.67"
Cedar Grove,North Carolina,"$600,633.33"
Scarborough,Maine,"$600,569.43"
Ridgedale,Missouri,"$600,475.00"
Pocasset,Oklahoma,"$600,416.67"
Spring Lake,Michigan,"$600,407.77"
Avon,Connecticut,"$600,227.75"
Liberty Hill,Texas,"$600,095.89"
Pittsfield,Michigan,"$600,000.00"
Coplin Plt,Maine,"$600,000.00"
Beavertown,Pennsylvania,"$600,000.00"
Oak Ridge,Missouri,"$600,000.00"
Laketown,Wisconsin,"$600,000.00"
Pulteney,New York,"$599,999.00"
Purdys,New York,"$599,900.00"
Dewhurst Township,Wisconsin,"$599,900.00"
McAdenville,North Carolina,"$599,900.00"
Bullville,New York,"$599,900.00"
Sardis,Georgia,"$599,900.00"
Nashua,Montana,"$599,900.00"
Warson Woods,Missouri,"$599,900.00"
Rhodelia,Kentucky,"$599,899.00"
La Valle,Wisconsin,"$599,766.67"
Lincoln University,Pennsylvania,"$599,756.18"
Kendall Park,New Jersey,"$599,750.00"
Roanoke,Texas,"$599,409.79"
Germantown,New York,"$599,293.75"
Frelinghuysen,New Jersey,"$599,035.71"
Upper Gwynedd,Pennsylvania,"$599,000.00"
Patton,Missouri,"$599,000.00"
Huntington Sta,New York,"$599,000.00"
Melbourne Village,Florida,"$599,000.00"
Fayetteville,Ohio,"$599,000.00"
Scottville,North Carolina,"$599,000.00"
Sneads,Florida,"$599,000.00"
Barton Hills,Michigan,"$599,000.00"
Coles Point,Virginia,"$599,000.00"
Export,Pennsylvania,"$598,901.85"
Highland Mills,New York,"$598,826.26"
Vass,North Carolina,"$598,819.88"
Saco,Montana,"$598,800.00"
Highlands,New Jersey,"$598,724.97"
Braintree,Massachusetts,"$598,589.47"
Huntersville,North Carolina,"$598,498.66"
Hendersonville,Tennessee,"$598,265.29"
Glencoe,Oklahoma,"$598,245.45"
Saint George,Vermont,"$598,000.00"
Jefferson Valley,New York,"$598,000.00"
Atlantic Beach,North Carolina,"$597,971.88"
Greenfield,New York,"$597,889.58"
Port Tobacco,Maryland,"$597,644.44"
Springfield Township,Pennsylvania,"$597,450.00"
Accokeek,Maryland,"$597,449.58"
Weyers Cave,Virginia,"$597,300.00"
Surgoinsville,Tennessee,"$597,175.00"
Seaside Heights,New Jersey,"$597,170.51"
Equinunk,Pennsylvania,"$597,080.00"
Old Hickory,Tennessee,"$597,035.28"
Oakmont,Pennsylvania,"$597,026.65"
Sandy River Plt,Maine,"$597,000.00"
Section,Alabama,"$596,875.00"
Christiana,Tennessee,"$596,863.33"
Fromberg,Montana,"$596,700.00"
Homewood,Alabama,"$596,649.20"
Mentor,Minnesota,"$596,483.33"
Landenberg,Pennsylvania,"$596,420.00"
White Sulphur Springs,West Virginia,"$596,389.29"
Darlington,Wisconsin,"$596,350.00"
Rehoboth,Massachusetts,"$596,324.24"
Weldon Spring,Missouri,"$596,212.50"
Northlake,Texas,"$596,166.99"
Berlin,Massachusetts,"$596,166.67"
Oviedo,Florida,"$595,981.78"
West Bloomfield Township,Michigan,"$595,810.46"
Inwood,New York,"$595,754.44"
Yarmouth,Massachusetts,"$595,690.00"
Rexford,Montana,"$595,616.67"
Acushnet,Massachusetts,"$595,433.33"
Old Saybrook,Connecticut,"$595,431.03"
Sabillasville,Maryland,"$595,365.40"
Murphy,Texas,"$595,361.46"
Melissa,Texas,"$595,351.76"
Corcoran,Minnesota,"$595,305.78"
New Rochelle,New York,"$595,091.42"
West Chatham,Massachusetts,"$595,000.00"
Waterville,Vermont,"$595,000.00"
Ludlow Falls,Ohio,"$595,000.00"
Chatham,New Hampshire,"$595,000.00"
Newington,Georgia,"$595,000.00"
Spencerville,Oklahoma,"$594,966.67"
Audubon,Pennsylvania,"$594,828.57"
White,Georgia,"$594,797.62"
New Haven,Vermont,"$594,750.00"
Cheshire,Connecticut,"$594,724.25"
Summerdale,Alabama,"$594,714.81"
Brock,Texas,"$594,532.50"
Allen,Texas,"$594,469.27"
Counce,Tennessee,"$594,438.89"
Glenn Dale,Maryland,"$594,136.69"
Sturtevant,Wisconsin,"$594,053.33"
Champion,Pennsylvania,"$593,945.45"
Bruce Township,Michigan,"$593,905.67"
Clinton Township,New Jersey,"$593,663.89"
Granger,Indiana,"$593,556.90"
Brevard,North Carolina,"$593,527.51"
Center City,Minnesota,"$593,304.60"
Zion Crossroads,Virginia,"$593,281.98"
Norton,Massachusetts,"$593,218.18"
Woodstock,Maryland,"$592,936.84"
Washington Township,Michigan,"$592,859.52"
Niceville,Florida,"$592,853.30"
Burke,Vermont,"$592,750.00"
Fredon Township,New Jersey,"$592,718.18"
Reston,Virginia,"$592,631.92"
Deerfield,Massachusetts,"$592,500.00"
Dagsboro,Delaware,"$592,446.71"
Clarksburg,Maryland,"$592,235.70"
Tryon,North Carolina,"$592,197.62"
